"depth.layer"	"Time.foraging"	"state"	"param"
0	NA	"rest"	"min"
0	NA	"rest"	"max"
0	NA	"rest"	"mean"
0	NA	"preg"	"min"
0	NA	"preg"	"max"
0	NA	"preg"	"mean"
0	NA	"lact"	"min"
0	NA	"lact"	"max"
0	NA	"lact"	"mean"
10	33133.7876584556	"rest"	"min"
10	37741.7978626117	"rest"	"max"
10	35437.7927605336	"rest"	"mean"
10	29899.4164339715	"preg"	"min"
10	34057.6134214775	"preg"	"max"
10	31978.5149277245	"preg"	"mean"
10	29899.4164339715	"lact"	"min"
10	34057.6134214775	"lact"	"max"
10	31978.5149277245	"lact"	"mean"
20	33133.7876584556	"rest"	"min"
20	37741.7978626117	"rest"	"max"
20	35437.7927605336	"rest"	"mean"
20	29899.4164339715	"preg"	"min"
20	34057.6134214775	"preg"	"max"
20	31978.5149277245	"preg"	"mean"
20	29899.4164339715	"lact"	"min"
20	34057.6134214775	"lact"	"max"
20	31978.5149277245	"lact"	"mean"
30	33133.7876584556	"rest"	"min"
30	37741.7978626117	"rest"	"max"
30	35437.7927605336	"rest"	"mean"
30	29899.4164339715	"preg"	"min"
30	34057.6134214775	"preg"	"max"
30	31978.5149277245	"preg"	"mean"
30	29899.4164339715	"lact"	"min"
30	34057.6134214775	"lact"	"max"
30	31978.5149277245	"lact"	"mean"
40	33133.7876584556	"rest"	"min"
40	37741.7978626117	"rest"	"max"
40	35437.7927605336	"rest"	"mean"
40	29899.4164339715	"preg"	"min"
40	34057.6134214775	"preg"	"max"
40	31978.5149277245	"preg"	"mean"
40	29899.4164339715	"lact"	"min"
40	34057.6134214775	"lact"	"max"
40	31978.5149277245	"lact"	"mean"
50	33133.7876584556	"rest"	"min"
50	37741.7978626117	"rest"	"max"
50	35437.7927605336	"rest"	"mean"
50	29899.4164339715	"preg"	"min"
50	34057.6134214775	"preg"	"max"
50	31978.5149277245	"preg"	"mean"
50	29899.4164339715	"lact"	"min"
50	34057.6134214775	"lact"	"max"
50	31978.5149277245	"lact"	"mean"
60	33133.7876584556	"rest"	"min"
60	37741.7978626117	"rest"	"max"
60	35437.7927605336	"rest"	"mean"
60	29899.4164339715	"preg"	"min"
60	34057.6134214775	"preg"	"max"
60	31978.5149277245	"preg"	"mean"
60	29899.4164339715	"lact"	"min"
60	34057.6134214775	"lact"	"max"
60	31978.5149277245	"lact"	"mean"
70	33133.7876584556	"rest"	"min"
70	37741.7978626117	"rest"	"max"
70	35437.7927605336	"rest"	"mean"
70	29899.4164339715	"preg"	"min"
70	34057.6134214775	"preg"	"max"
70	31978.5149277245	"preg"	"mean"
70	29899.4164339715	"lact"	"min"
70	34057.6134214775	"lact"	"max"
70	31978.5149277245	"lact"	"mean"
80	33133.7876584556	"rest"	"min"
80	37741.7978626117	"rest"	"max"
80	35437.7927605336	"rest"	"mean"
80	29899.4164339715	"preg"	"min"
80	34057.6134214775	"preg"	"max"
80	31978.5149277245	"preg"	"mean"
80	29899.4164339715	"lact"	"min"
80	34057.6134214775	"lact"	"max"
80	31978.5149277245	"lact"	"mean"
90	33133.7876584556	"rest"	"min"
90	37741.7978626117	"rest"	"max"
90	35437.7927605336	"rest"	"mean"
90	29899.4164339715	"preg"	"min"
90	34057.6134214775	"preg"	"max"
90	31978.5149277245	"preg"	"mean"
90	29899.4164339715	"lact"	"min"
90	34057.6134214775	"lact"	"max"
90	31978.5149277245	"lact"	"mean"
100	33133.7876584556	"rest"	"min"
100	37741.7978626117	"rest"	"max"
100	35437.7927605336	"rest"	"mean"
100	29899.4164339715	"preg"	"min"
100	34057.6134214775	"preg"	"max"
100	31978.5149277245	"preg"	"mean"
100	29899.4164339715	"lact"	"min"
100	34057.6134214775	"lact"	"max"
100	31978.5149277245	"lact"	"mean"
110	33133.7876584556	"rest"	"min"
110	37741.7978626117	"rest"	"max"
110	35437.7927605336	"rest"	"mean"
110	29899.4164339715	"preg"	"min"
110	34057.6134214775	"preg"	"max"
110	31978.5149277245	"preg"	"mean"
110	29899.4164339715	"lact"	"min"
110	34057.6134214775	"lact"	"max"
110	31978.5149277245	"lact"	"mean"
120	33133.7876584556	"rest"	"min"
120	37741.7978626117	"rest"	"max"
120	35437.7927605336	"rest"	"mean"
120	29899.4164339715	"preg"	"min"
120	34057.6134214775	"preg"	"max"
120	31978.5149277245	"preg"	"mean"
120	29899.4164339715	"lact"	"min"
120	34057.6134214775	"lact"	"max"
120	31978.5149277245	"lact"	"mean"
130	33133.7876584556	"rest"	"min"
130	37741.7978626117	"rest"	"max"
130	35437.7927605336	"rest"	"mean"
130	29899.4164339715	"preg"	"min"
130	34057.6134214775	"preg"	"max"
130	31978.5149277245	"preg"	"mean"
130	29899.4164339715	"lact"	"min"
130	34057.6134214775	"lact"	"max"
130	31978.5149277245	"lact"	"mean"
140	33133.7876584556	"rest"	"min"
140	37741.7978626117	"rest"	"max"
140	35437.7927605336	"rest"	"mean"
140	29899.4164339715	"preg"	"min"
140	34057.6134214775	"preg"	"max"
140	31978.5149277245	"preg"	"mean"
140	29899.4164339715	"lact"	"min"
140	34057.6134214775	"lact"	"max"
140	31978.5149277245	"lact"	"mean"
150	33133.7876584556	"rest"	"min"
150	37741.7978626117	"rest"	"max"
150	35437.7927605336	"rest"	"mean"
150	29899.4164339715	"preg"	"min"
150	34057.6134214775	"preg"	"max"
150	31978.5149277245	"preg"	"mean"
150	29899.4164339715	"lact"	"min"
150	34057.6134214775	"lact"	"max"
150	31978.5149277245	"lact"	"mean"
160	32565.2738922207	"rest"	"min"
160	37094.21926796	"rest"	"max"
160	34829.7465800904	"rest"	"mean"
160	29386.3984228609	"preg"	"min"
160	33473.2485346495	"preg"	"max"
160	31429.8234787552	"preg"	"mean"
