base,slope,model_type,.metric,mean,std_err
7920000,0,tuned,accuracy,0.9173862099219384,0.00264763536645112
7920000,0,tuned,roc_auc,0.881161565353154,0.0031629437610868
7920000,0,untuned,accuracy,0.9159298919375278,0.00208686846697305
7920000,0,untuned,roc_auc,0.8746570916405534,0.00386292078957837
9240000,0,tuned,accuracy,0.92971559018654,0.00306352251079975
9240000,0,tuned,roc_auc,0.8825461583175174,0.00390195067788172
9240000,0,untuned,accuracy,0.9275309724533128,0.00244850176238113
9240000,0,untuned,roc_auc,0.8735867804455771,0.00483016695856308
10560000,0,tuned,accuracy,0.941785788101042,0.00149722270643495
10560000,0,tuned,roc_auc,0.8845926779197752,0.00383554318481041
10560000,0,untuned,accuracy,0.938612389308338,0.00145852404337779
10560000,0,untuned,roc_auc,0.8771774282474819,0.00374683527853332
7920000,2640,tuned,accuracy,0.9173862099219384,0.00264763536645112
7920000,2640,tuned,roc_auc,0.881161565353154,0.0031629437610868
7920000,2640,untuned,accuracy,0.9159298919375278,0.00208686846697305
7920000,2640,untuned,roc_auc,0.8746570916405534,0.00386292078957837
9240000,2640,tuned,accuracy,0.92971559018654,0.00306352251079975
9240000,2640,tuned,roc_auc,0.8825461583175174,0.00390195067788172
9240000,2640,untuned,accuracy,0.9275309724533128,0.00244850176238113
9240000,2640,untuned,roc_auc,0.8735867804455771,0.00483016695856308
10560000,2640,tuned,accuracy,0.941785788101042,0.00149722270643495
10560000,2640,tuned,roc_auc,0.8845926779197752,0.00383554318481041
10560000,2640,untuned,accuracy,0.938612389308338,0.00145852404337779
10560000,2640,untuned,roc_auc,0.8771774282474819,0.00374683527853332
7920000,26400,tuned,accuracy,0.9173862099219384,0.00264763536645112
7920000,26400,tuned,roc_auc,0.881161565353154,0.0031629437610868
7920000,26400,untuned,accuracy,0.9159298919375278,0.00208686846697305
7920000,26400,untuned,roc_auc,0.8746570916405534,0.00386292078957837
9240000,26400,tuned,accuracy,0.92971559018654,0.00306352251079975
9240000,26400,tuned,roc_auc,0.8825461583175174,0.00390195067788172
9240000,26400,untuned,accuracy,0.9275309724533128,0.00244850176238113
9240000,26400,untuned,roc_auc,0.8735867804455771,0.00483016695856308
10560000,26400,tuned,accuracy,0.941785788101042,0.00149722270643495
10560000,26400,tuned,roc_auc,0.8845926779197752,0.00383554318481041
10560000,26400,untuned,accuracy,0.938612389308338,0.00145852404337779
10560000,26400,untuned,roc_auc,0.8771774282474819,0.00374683527853332
7920000,264000,tuned,accuracy,0.9173862099219384,0.00264763536645112
7920000,264000,tuned,roc_auc,0.881161565353154,0.0031629437610868
7920000,264000,untuned,accuracy,0.9159298919375278,0.00208686846697305
7920000,264000,untuned,roc_auc,0.8746570916405534,0.00386292078957837
9240000,264000,tuned,accuracy,0.92971559018654,0.00306352251079975
9240000,264000,tuned,roc_auc,0.8825461583175174,0.00390195067788172
9240000,264000,untuned,accuracy,0.9275309724533128,0.00244850176238113
9240000,264000,untuned,roc_auc,0.8735867804455771,0.00483016695856308
10560000,264000,tuned,accuracy,0.941785788101042,0.00149722270643495
10560000,264000,tuned,roc_auc,0.8845926779197752,0.00383554318481041
10560000,264000,untuned,accuracy,0.938612389308338,0.00145852404337779
10560000,264000,untuned,roc_auc,0.8771774282474819,0.00374683527853332
